 107: (1, 114) 9.17700
   8: (2, 38) 6.03000
  91: (3, 104) 0.574000
   1: (3, 8) 9.56800
  33: (4, 66) 9.40500
  11: (5, 41) 2.44000
  62: (5, 87) 2.50300
  55: (6, 84) 0.719000
  88: (7, 102) 0.927000
  89: (7, 103) 4.39700
   2: (7, 11) 4.75500
  34: (9, 67) 0.775000
 109: (10, 115) 1.44100
  46: (10, 77) 7.97800
  99: (11, 109) 0.641000
  71: (11, 94) 1.06600
   7: (11, 35) 4.60300
 108: (12, 114) 1.28100
   3: (12, 14) 2.13100
   5: (12, 22) 3.21700
  95: (12, 107) 6.84000
  68: (13, 92) 4.60100
  84: (15, 101) 0.266000
   6: (16, 27) 1.26400
  57: (16, 85) 9.12100
  10: (17, 40) 2.80300
  17: (18, 48) 1.10600
  15: (19, 47) 3.47700
  20: (20, 52) 7.29100
  79: (21, 99) 8.88200
  41: (22, 72) 5.55000
 102: (22, 111) 5.59600
 114: (22, 120) 6.21700
  31: (23, 65) 2.87300
  21: (24, 52) 0.486000
  13: (25, 45) 1.16700
  12: (25, 42) 1.56000
  50: (25, 81) 5.29700
  77: (25, 98) 8.59800
  80: (26, 99) 0.138000
  35: (28, 67) 0.944000
  37: (29, 68) 6.87100
  56: (30, 84) 6.87600
  94: (31, 106) 4.67500
  22: (32, 56) 1.15000
 112: (32, 118) 1.34100
  25: (32, 58) 5.35900
  18: (33, 48) 1.32500
  69: (33, 93) 2.85800
  85: (33, 101) 3.00400
  14: (33, 46) 5.21400
  32: (34, 65) 1.27900
  67: (36, 91) 0.915000
  73: (36, 95) 4.33300
 113: (36, 119) 7.62300
  23: (37, 56) 6.27300
  53: (37, 83) 7.98100
  43: (38, 75) 8.43700
  26: (39, 58) 2.03700
  29: (40, 61) 2.07300
  86: (41, 101) 4.30400
 104: (42, 112) 0.322000
 110: (43, 117) 1.90300
  19: (43, 49) 9.32500
  63: (44, 88) 0.998000
  48: (44, 80) 1.00400
  70: (47, 93) 4.17100
  47: (47, 79) 6.51600
  44: (48, 75) 8.66200
  36: (48, 67) 8.79100
  54: (49, 83) 4.74300
  58: (50, 85) 1.26800
  76: (50, 97) 6.75400
  24: (51, 57) 0.821000
 115: (53, 120) 2.10500
  28: (54, 59) 1.61100
  30: (54, 62) 8.91100
  72: (55, 94) 3.43600
  39: (55, 70) 5.52600
 100: (56, 110) 5.08900
  51: (57, 81) 0.449000
  83: (57, 100) 6.14200
  60: (58, 86) 5.92200
  97: (59, 108) 2.96800
  74: (59, 96) 4.72800
 106: (60, 113) 3.92000
  40: (61, 70) 6.19600
  42: (62, 73) 1.43000
  52: (63, 82) 3.01100
  93: (64, 105) 4.92600
  38: (64, 69) 7.02700
  49: (66, 80) 6.50400
  65: (67, 90) 7.95900
  92: (70, 104) 2.40800
  59: (71, 85) 8.62200
 101: (72, 110) 3.96900
  45: (72, 76) 8.75300
  61: (74, 86) 3.27500
  66: (78, 90) 5.35100
  81: (79, 99) 0.859000
  87: (80, 101) 3.27100
  75: (85, 96) 4.09700
  64: (86, 89) 3.59300
  82: (92, 99) 7.01800
  96: (93, 107) 6.62300
  90: (99, 103) 3.63900
  98: (103, 108) 6.94500
 105: (111, 112) 4.48200
 111: (116, 117) 1.46400
Total Weight = 459.140
